Project Name,Java File,Line No.,Abbreviation2BeTested,EnclosingIdentifier,Contexts,Type of Identifiers,Full Terms,URL,Necessity4Expansion(manual Label),Necessity4Expansion(Prediction),Java Command 2 Test This Item
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\DrJavaPropertySetup.java,133,f,f,file#dir#name,variableName,file,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/DrJavaPropertySetup.java#L133,0,0,java FindCasualNames.main.smartExpander f f file#dir#name variableName file drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\contentobjects\jnotify\macosx\JNotify_macosx.java,82,wd,wd,int#remove#watch,parameterName,watch data,https://github.com/vivainio/docfetcher/blob/master/src/net/contentobjects/jnotify/macosx/JNotify_macosx.java#L82,1,1,java FindCasualNames.main.smartExpander wd wd int#remove#watch parameterName watch data docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\BeanShell.java,530,t,t,handle#exception#view#strin#throwable,parameterName,throwable,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/BeanShell.java#L530,0,0,java FindCasualNames.main.smartExpander t t handle#exception#view#strin#throwable parameterName throwable jedit
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\ui\tray\DavGatewayTray.java,397,x,x,int,variableName,x-axis,https://github.com/mguessan/davmail/blob/master/src/java/davmail/ui/tray/DavGatewayTray.java#L397,0,0,java FindCasualNames.main.smartExpander x x int variableName x-axis davmail
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\buffer\JEditBuffer.java,1317,ctx,ctx,token#marker#line#context,variableName,context,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/buffer/JEditBuffer.java#L1317,0,0,java FindCasualNames.main.smartExpander ctx ctx token#marker#line#context variableName context jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\MethodUtils.java,86,meta,isMetaMethod,boolean#is#method,methodName,metadata,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/MethodUtils.java#L86,0,0,java FindCasualNames.main.smartExpander meta isMetaMethod boolean#is#method methodName metadata dubbo
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\archive\jsmooth-0.9.9-7-patch\src\net\charabia\jsmoothgen\application\ExeCompiler.java,255,i,i,i#pixels#length,forVariableName,index,https://github.com/mguessan/davmail/blob/master/archive/jsmooth-0.9.9-7-patch/src/net/charabia/jsmoothgen/application/ExeCompiler.java#L255,0,0,java FindCasualNames.main.smartExpander i i i#pixels#length forVariableName index davmail
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\TarInputStream.java,47,buf,readBuf,read#byte,variableName,buffer,https://github.com/romuloceccon/jedit/blob/master/installer/TarInputStream.java#L47,0,0,java FindCasualNames.main.smartExpander buf readBuf read#byte variableName buffer jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\RecursiveFileListProperty.java,96,f,fStart,file#start,variableName,file,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/RecursiveFileListProperty.java#L96,0,0,java FindCasualNames.main.smartExpander f fStart file#start variableName file drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\StringUtils.java,484,ss,ss,string#is#any#empty,parameterName,strings,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/StringUtils.java#L484,1,0,java FindCasualNames.main.smartExpander ss ss string#is#any#empty parameterName strings dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\CBZip2OutputStream.java,489,c,c,int#bs#put#char,parameterName,char,https://github.com/romuloceccon/jedit/blob/master/installer/CBZip2OutputStream.java#L489,0,0,java FindCasualNames.main.smartExpander c c int#bs#put#char parameterName char jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\index\file\HtmlFileLister.java,43,dir,parentDir,parent#file#lister,parameterName,directory,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/index/file/HtmlFileLister.java#L43,0,0,java FindCasualNames.main.smartExpander dir parentDir parent#file#lister parameterName directory docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-compatible\src\main\java\com\alibaba\dubbo\rpc\RpcContext.java,61,rpc,newRpcContext,context#new,parameterName,regional playback control,https://github.com/apache/dubbo/blob/master/dubbo-compatible/src/main/java/com/alibaba/dubbo/rpc/RpcContext.java#L61,1,1,java FindCasualNames.main.smartExpander rpc newRpcContext context#new parameterName regional playback control dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractDJDocument.java,562,prev,findPrevEnclosingBrace,pos#opening#closing,methodName,previous,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractDJDocument.java#L562,0,0,java FindCasualNames.main.smartExpander prev findPrevEnclosingBrace pos#opening#closing methodName previous drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\org\objectweb\asm\Type.java,557,m,m,method#get#method#descriptor#string,parameterName,method,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/org/objectweb/asm/Type.java#L557,0,0,java FindCasualNames.main.smartExpander m m method#get#method#descriptor#string parameterName method jedit
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\browser\VFSDirectoryEntryTable.java,603,dir,isDir,is#dir#node#entry#type#directory,variableName,directory,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/browser/VFSDirectoryEntryTable.java#L603,0,0,java FindCasualNames.main.smartExpander dir isDir is#dir#node#entry#type#directory variableName directory jedit
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\http\HttpClientAdapter.java,221,inet,inetSocketAddress,inet#socket#address#proxy,variableName,internet,https://github.com/mguessan/davmail/blob/master/src/java/davmail/http/HttpClientAdapter.java#L221,0,0,java FindCasualNames.main.smartExpander inet inetSocketAddress inet#socket#address#proxy variableName internet davmail
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\build\BuildMain.java,164,dir,releaseDir,string#release#format#version,variableName,directory,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/build/BuildMain.java#L164,0,0,java FindCasualNames.main.smartExpander dir releaseDir string#release#format#version variableName directory docfetcher
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\search\Searcher.java,446,max,maxResults,int#results#web#query#page#index,variableName,maximum,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/search/Searcher.java#L446,0,0,java FindCasualNames.main.smartExpander max maxResults int#results#web#query#page#index variableName maximum docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\support\AbstractClusterInvokerTest.java,173,l,l,load#balance#cluster#init#balance,variableName,load,https://github.com/apache/dubbo/blob/master/dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/support/AbstractClusterInvokerTest.java#L173,0,0,java FindCasualNames.main.smartExpander l l load#balance#cluster#init#balance variableName load dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\DrJavaPropertySetup.java,1394,cp,cp,string#cps,forVariableName,classpath,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/DrJavaPropertySetup.java#L1394,1,1,java FindCasualNames.main.smartExpander cp cp string#cps forVariableName classpath drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\Buffer.java,337,vfs,vfs,vfs#managr#path,variableName,virtual file system,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/Buffer.java#L337,1,1,java FindCasualNames.main.smartExpander vfs vfs vfs#managr#path variableName virtual file system jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\DrJavaRoot.java,281,se,se,catch#security#exception,variableName,security exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/DrJavaRoot.java#L281,0,0,java FindCasualNames.main.smartExpander se se catch#security#exception variableName security exception drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\LoadBalance.java,48,url,url,url#list#invocation#rpc#exception#invoker,parameterName,uniform resource locator,https://github.com/apache/dubbo/blob/master/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/LoadBalance.java#L48,0,0,java FindCasualNames.main.smartExpander url url url#list#invocation#rpc#exception#invoker parameterName uniform resource locator dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\EvalError.java,136,ns,ns,name#space#stack#pop,variableName,name space,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/EvalError.java#L136,0,0,java FindCasualNames.main.smartExpander ns ns name#space#stack#pop variableName name space jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\StringUtils.java,1087,pos,pos,char#sequence#int#decode#hex#byte,parameterName,position,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/StringUtils.java#L1087,0,0,java FindCasualNames.main.smartExpander pos pos char#sequence#int#decode#hex#byte parameterName position dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\config\AbstractInterfaceConfig.java,685,config,getSslConfig,ssl#config,methodName,configuration,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/config/AbstractInterfaceConfig.java#L685,0,0,java FindCasualNames.main.smartExpander config getSslConfig ssl#config methodName configuration dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\util\Util.java,127,fs,fs,string#system#get#property#file#separator,variableName,file separator,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/util/Util.java#L127,0,0,java FindCasualNames.main.smartExpander fs fs string#system#get#property#file#separator variableName file separator docfetcher
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\filter\FilesizePanel.java,173,min,minKB,long#file#size#unit#byte,variableName,minmum,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/filter/FilesizePanel.java#L173,0,0,java FindCasualNames.main.smartExpander min minKB long#file#size#unit#byte variableName minmum docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,2423,wd,wd,file#reset#interactions,parameterName,working directory,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L2423,1,1,java FindCasualNames.main.smartExpander wd wd file#reset#interactions parameterName working directory drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\build\BuildMain.java,143,attr,attr,attribute,variableName,attribute,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/build/BuildMain.java#L143,0,0,java FindCasualNames.main.smartExpander attr attr attribute variableName attribute docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,2552,cp,cp,iterable#set#extra#class#path,parameterName,class path,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L2552,0,0,java FindCasualNames.main.smartExpander cp cp iterable#set#extra#class#path parameterName class path drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\config\AbstractInterfaceConfig.java,685,ssl,getSslConfig,ssl#config,methodName,secure socket layer,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/config/AbstractInterfaceConfig.java#L685,1,1,java FindCasualNames.main.smartExpander ssl getSslConfig ssl#config methodName secure socket layer dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\enums\MsgMigrator.java,64,sb,sb0,string#builder#,variableName,string builder,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/enums/MsgMigrator.java#L64,0,0,java FindCasualNames.main.smartExpander sb sb0 string#builder# variableName string builder docfetcher
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\CommandLineTest.java,55,mf,_mf,main#frame,variableName,main frame,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/CommandLineTest.java#L55,0,0,java FindCasualNames.main.smartExpander mf _mf main#frame variableName main frame drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\archive\jsmooth-0.9.9-7-patch\src\net\charabia\jsmoothgen\application\ExeCompiler.java,343,w,w,int#img#get#width,variableName,width,https://github.com/mguessan/davmail/blob/master/archive/jsmooth-0.9.9-7-patch/src/net/charabia/jsmoothgen/application/ExeCompiler.java#L343,0,0,java FindCasualNames.main.smartExpander w w int#img#get#width variableName width davmail
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\UtilModel.java,241,config,config,indexing#config#maybe#unpack#zip,parameterName,configuration,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/UtilModel.java#L241,0,0,java FindCasualNames.main.smartExpander config config indexing#config#maybe#unpack#zip parameterName configuration docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\CBZip2InputStream.java,848,pos,pos,char,variableName,position,https://github.com/romuloceccon/jedit/blob/master/installer/CBZip2InputStream.java#L848,0,0,java FindCasualNames.main.smartExpander pos pos char variableName position jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\enums\SettingsConf.java,270,x,x,int#shell#bounds#y#width#height,parameterName,x-axis,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/enums/SettingsConf.java#L270,0,0,java FindCasualNames.main.smartExpander x x int#shell#bounds#y#width#height parameterName x-axis docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-metadata\dubbo-metadata-api\src\main\java\org\apache\dubbo\metadata\definition\ServiceDefinitionBuilder.java,77,td,td,type#definition#builder,variableName,type definition,https://github.com/apache/dubbo/blob/27571a094e668aa87797d11283ab9f0ba383b3c3/dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/definition/ServiceDefinitionBuilder.java#L77,0,0,java FindCasualNames.main.smartExpander td td type#definition#builder variableName type definition dubbo
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\ldap\HexDumpEncoder.java,153,num,numBytes,int,variableName,number,https://github.com/mguessan/davmail/blob/master/src/java/davmail/ldap/HexDumpEncoder.java#L153,0,0,java FindCasualNames.main.smartExpander num numBytes int variableName number davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\StringUtils.java,618,msg,msg,string#throwable#to#string,parameterName,message,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/StringUtils.java#L618,0,0,java FindCasualNames.main.smartExpander msg msg string#throwable#to#string parameterName message dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\debug\jpda\JPDABreakpoint.java,294,rs,rs,add#set#region#set#document,parameterName,region set,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/debug/jpda/JPDABreakpoint.java#L294,0,0,java FindCasualNames.main.smartExpander rs rs add#set#region#set#document parameterName region set drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\net\sourceforge\jarbundler\PropertyListWriter.java,307,os,osTypes,list#types#document,variableName,operating system,https://github.com/romuloceccon/jedit/blob/master/net/sourceforge/jarbundler/PropertyListWriter.java#L307,0,1,java FindCasualNames.main.smartExpander os osTypes list#types#document variableName operating system jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\ConfigUtils.java,260,msg,errMsg,string#err#format,variableName,message,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/ConfigUtils.java#L260,0,0,java FindCasualNames.main.smartExpander msg errMsg string#err#format variableName message dubbo
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\BSHPrimarySuffix.java,183,msg,msg,string,variableName,message,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/BSHPrimarySuffix.java#L183,0,0,java FindCasualNames.main.smartExpander msg msg string variableName message jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\json\Yylex.java,456,num,numRead,int#reader,variableName,number,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/json/Yylex.java#L456,0,0,java FindCasualNames.main.smartExpander num numRead int#reader variableName number dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,4134,sel,sel,pair#integer#get#selection,variableName,selection,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L4134,0,0,java FindCasualNames.main.smartExpander sel sel pair#integer#get#selection variableName selection drjava
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,2552,cp,cp,iterable#set#extra#class#path,parameterName,class path,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L2552,0,0,java FindCasualNames.main.smartExpander cp cp iterable#set#extra#class#path parameterName class path drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\threadpool\ThreadlessExecutor.java,142,t,t,throwable#notify#return,variableName,throwable,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/threadpool/ThreadlessExecutor.java#L142,0,0,java FindCasualNames.main.smartExpander t t throwable#notify#return variableName throwable dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\URLStrParser.java,216,param,addParam,boolean#add#str#encoded#name#start#value#start#temp,methodName,parameter,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java#L216,0,0,java FindCasualNames.main.smartExpander param addParam boolean#add#str#encoded#name#start#value#start#temp methodName parameter dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\merger\ArrayMerger.java,45,len,totalLen,int#total,variableName,length,https://github.com/apache/dubbo/blob/master/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/merger/ArrayMerger.java#L45,0,0,java FindCasualNames.main.smartExpander len totalLen int#total variableName length dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\ConfigOptionListeners.java,461,params,JavadocCustomParamsListener,javadoc#custom#listener#jframe#parent,methodName,parameters,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/ConfigOptionListeners.java#L461,0,0,java FindCasualNames.main.smartExpander params JavadocCustomParamsListener javadoc#custom#listener#jframe#parent methodName parameters drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\ldap\BerDecoder.java,208,fb,fb,byte#buf#offset,variableName,first byte,https://github.com/mguessan/davmail/blob/master/src/java/davmail/ldap/BerDecoder.java#L208,1,1,java FindCasualNames.main.smartExpander fb fb byte#buf#offset variableName first byte davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParser.java,180,i,i,int#interface#name#index#of,variableName,index,https://github.com/apache/dubbo/blob/master/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/configurator/parser/ConfigParser.java#L180,0,0,java FindCasualNames.main.smartExpander i i int#interface#name#index#of variableName index dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\json\Yylex.java,456,num,numRead,int#reader,variableName,number,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/json/Yylex.java#L456,0,0,java FindCasualNames.main.smartExpander num numRead int#reader variableName number dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\contentobjects\jnotify\linux\JNotify_linux.java,152,wd,wd,int#callback#process#event#name#mask#cookie,parameterName,watch data,https://github.com/vivainio/docfetcher/blob/master/src/net/contentobjects/jnotify/linux/JNotify_linux.java#L152,1,1,java FindCasualNames.main.smartExpander wd wd int#callback#process#event#name#mask#cookie parameterName watch data docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\BSHTryStatement.java,137,cb,cb,bsh#block#catch#blocks#element,variableName,catch block,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/BSHTryStatement.java#L137,0,0,java FindCasualNames.main.smartExpander cb cb bsh#block#catch#blocks#element variableName catch block jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\test\java\org\apache\dubbo\common\config\InmemoryConfigurationTest.java,52,mem,testGetMemProperty,assertion#config#internal#property,methodName,memory,https://github.com/apache/dubbo/blob/master/dubbo-common/src/test/java/org/apache/dubbo/common/config/InmemoryConfigurationTest.java#L52,1,1,java FindCasualNames.main.smartExpander mem testGetMemProperty assertion#config#internal#property methodName memory dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\IndexRegistry.java,554,cmp,cmp,int#alphanum#comparator#ignore#case#instance#compare,variableName,comparator,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/IndexRegistry.java#L554,0,0,java FindCasualNames.main.smartExpander cmp cmp int#alphanum#comparator#ignore#case#instance#compare variableName comparator docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\ServerKiller.java,108,ioe,ioe,io#exception,variableName,ioexception,https://github.com/romuloceccon/jedit/blob/master/installer/ServerKiller.java#L108,0,0,java FindCasualNames.main.smartExpander ioe ioe io#exception variableName ioexception jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,4135,pkg,pkg,string#df#get#package,variableName,package,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L4135,0,0,java FindCasualNames.main.smartExpander pkg pkg string#df#get#package variableName package drjava
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\debug\jpda\EventHandlerThread.java,258,erm,erm,event#request#manager,variableName,event request manager,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/debug/jpda/EventHandlerThread.java#L258,0,0,java FindCasualNames.main.smartExpander erm erm event#request#manager variableName event request manager drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\test\davmail\AbstractDavMailTestCase.java,121,baos,baos,byte#array#output#stream,variableName,byte array output stream,https://github.com/mguessan/davmail/blob/master/src/test/davmail/AbstractDavMailTestCase.java#L121,0,0,java FindCasualNames.main.smartExpander baos baos byte#array#output#stream variableName byte array output stream davmail
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\test\davmail\TestDavGateway.java,45,url,versionUrl,string#version,variableName,unifrom resource locator,https://github.com/mguessan/davmail/blob/8222e4d85d9474571d33cea2c8eacd72aa2a2fd0/src/test/davmail/TestDavGateway.java#L45,0,0,java FindCasualNames.main.smartExpander url versionUrl string#version variableName unifrom resource locator davmail
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\debug\jpda\JPDADebugger.java,658,ste,ste,stack#trace#element,variableName,stack trace element,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/debug/jpda/JPDADebugger.java#L658,0,0,java FindCasualNames.main.smartExpander ste ste stack#trace#element variableName stack trace element drjava
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\DrJavaRestart.java,55,f,f,file#delete,parameterName,file,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/DrJavaRestart.java#L55,0,0,java FindCasualNames.main.smartExpander f f file#delete parameterName file drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\utils\ReflectUtils.java,156,cls,cls,class#is#primitives#boolean,parameterName,class,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/utils/ReflectUtils.java#L156,0,0,java FindCasualNames.main.smartExpander cls cls class#is#primitives#boolean parameterName class dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\config\PropertyMaps.java,127,pm,pm,property#maps#drjava#property#value#get#lazy,parameterName,property maps,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/config/PropertyMaps.java#L127,0,0,java FindCasualNames.main.smartExpander pm pm property#maps#drjava#property#value#get#lazy parameterName property maps drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\buffer\JEditBuffer.java,2756,io,io,boolean,variableName,input output,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/buffer/JEditBuffer.java#L2756,0,1,java FindCasualNames.main.smartExpander io io boolean variableName input output jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\man\Manual.java,71,args,args,string#main#exception,parameterName,arguments,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/man/Manual.java#L71,0,0,java FindCasualNames.main.smartExpander args args string#main#exception parameterName arguments docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\beanutil\JavaBeanSerializeUtil.java,313,m,m,method#cls#get,forVariableName,method,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/beanutil/JavaBeanSerializeUtil.java#L313,0,0,java FindCasualNames.main.smartExpander m m method#cls#get forVariableName method dubbo
